train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Training Loss2,Q Predictions,Q Predictions2,Q Targets,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-353.9466,0.0,-353.9466,-353.9466,-353.9466,-346.83878,131.95982,-389.82758,-578.62146,-127.794846,2001,12.993709564208984,0.0005386728,0.00046500424,-1.2030531,-1.2121453,-1.2143633,-0.7078932,0.09135767,-0.7324476,-0.7528458,-0.3108177,-0.69367754,0.28062946,-0.7727245,-1.5432953,-0.1111707,-0.22463970482903947,0.956776303152064,4.2869468590004584e-16,-2.3451477465985824,1.6104815030554938,-0.23480206170626286,0.934902363711968,-1.351059841869807e-17,-2.369337936785374,1.6297131436635004,-0.35014733829183464,0.21729357562036136,-0.2841544798317256,-0.6709668987386399,-0.006924561209930569,-0.3436689914756747,0.26179911658491023,-0.23511780910689206,-1.418000572580851,-0.0006226844085226446,0.3393333333333333,0.4734830749057693,0.0,False,True,0.40903703703703703,0.4916561190191765,0.0,False,True,0.0,0.0,0.0,False,False,0.10888888888888888,0.31149975724779,0.0,False,True,0,2000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-360.20398,0.0,-360.20398,-360.20398,-360.20398,-398.26913,106.896034,-364.26273,-623.0571,-277.16986,4001,43.671164989471436,8.4800515e-05,0.00011297217,-2.320941,-2.3142953,-2.31339,-0.72040796,0.07689413,-0.73755753,-0.796453,-0.31353867,-0.7965382,0.22105515,-0.7106863,-1.5198263,-0.096379556,-0.42292494829344535,0.9283535647034283,-6.113453179202509e-16,-2.340840692681436,1.4070758152766774,-0.4407816866286609,0.9156978864773845,-8.913983762269295e-16,-2.3483067221379708,1.418900583780596,-0.3701589740584254,0.19480543280193546,-0.43438542398709534,-0.6809028276702803,-0.007965668725253505,-0.40887912232551593,0.2461653329717012,-0.43995295653062727,-1.296755486549039,-0.0008103157057645638,0.33666666666666667,0.47256980671877696,0.0,False,True,0.22496296296296298,0.41755793401381747,0.0,False,True,0.0,0.0,0.0,False,False,0.005333333333333333,0.07283466817998753,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-353.60516,0.0,-353.60516,-353.60516,-353.60516,-396.67487,89.15152,-394.71912,-578.8263,-273.4632,6001,74.2066421508789,7.016827e-05,9.159418e-05,-3.0537436,-3.0543115,-3.0493977,-0.7072103,0.08163766,-0.7414693,-0.9139562,-0.4629689,-0.7933498,0.21166934,-0.74963516,-1.4280916,-0.1571851,-0.17297265396613243,0.9747551007087788,-8.034121718997013e-16,-2.3676947344021304,1.7560264105921504,-0.1932922837221001,0.9700341782153034,-1.987340197985429e-15,-2.38021877007154,1.747653183026717,-0.37287432022429223,0.17292131252718793,-0.5075654895697514,-0.7649511539855851,-0.0003667175652179791,-0.3977777236814586,0.25789303006429654,-0.4376284001920394,-1.32350378174888,-9.038496150941266e-05,0.356,0.4788152044369519,0.0,False,True,0.36133333333333334,0.48038688112349154,0.0,False,True,0.0,0.0,0.0,False,False,0.010222222222222223,0.10058691960221136,0.0,False,True,0,6000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-323.74005,0.0,-323.74005,-323.74005,-323.74005,-455.0514,145.88756,-500.69604,-613.50574,-200.34834,8001,104.69303679466248,0.0006002075,0.0006174006,-3.8739653,-3.880228,-3.880123,-0.64748013,0.09895474,-0.6647836,-0.9333003,-0.21464515,-0.9101028,0.30745953,-0.9972795,-1.476281,-0.3104845,-0.3255582929906299,0.921631625183944,-0.11948741304884053,-2.4003731624542217,1.5122835552023817,-0.3168004643147871,0.9182612348715812,-0.04982574739657872,-2.405958623039107,1.5412490241098586,-0.24989706163421488,0.2838290940058446,-0.05043486942779435,-0.932824815160515,-0.0004539446607407793,-0.45994373940792177,0.3099321224170419,-0.39648274336427763,-1.317115729269128,-9.036477688739719e-06,0.6593333333333333,0.4739334224222732,1.0,False,True,0.23777777777777778,0.4257223345947914,0.0,False,True,0.02,0.13999999999999996,0.0,False,True,0.0,0.0,0.0,False,False,0,8000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-322.08545,0.0,-322.08545,-322.08545,-322.08545,-384.69434,116.145706,-351.98254,-591.07275,-266.93036,10001,135.18264484405518,0.00032678846,0.00016260974,-4.7981596,-4.8011065,-4.8125505,-0.6441709,0.084558986,-0.6280129,-1.2030635,-0.55090356,-0.7693887,0.24580894,-0.6905036,-1.3943152,-0.26961455,-0.5261884632832299,0.8960714634691886,-0.17530768662685242,-2.3945675529917656,1.4134605159655431,-0.4966669910258217,0.8916654379499032,-0.046301990696205164,-2.3984358529883965,1.4134140616803046,-0.3395249773593201,0.15945197024261276,-0.42726803124835455,-1.1672023235173314,-0.0023619476029624886,-0.38911880665855575,0.25699586791432016,-0.40742133387899016,-1.3600887088494864,-0.0014010782379785258,0.32466666666666666,0.4682501705522618,0.0,False,True,0.2597037037037037,0.4384719945290493,0.0,False,True,0.0,0.0,0.0,False,False,0.0015555555555555555,0.039409843979253914,0.0,False,True,0,10000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-391.1857,0.0,-391.1857,-391.1857,-391.1857,-403.38745,121.950455,-413.7692,-588.75073,-227.43826,12001,170.167462348938,0.00020247803,0.00015104846,-5.6356144,-5.640706,-5.6458664,-0.7823714,0.11882417,-0.7500491,-1.4767746,-0.7393442,-0.806775,0.26879182,-0.8046496,-1.5799797,-0.21071135,-0.05790607331224305,0.7690572606536886,-3.2693980422027876e-06,-2.3361386055286517,1.7355718066660963,-0.051784961419652366,0.7815939048828924,-7.604816629207636e-05,-2.3954790260165297,1.7574942435637653,-0.4214317014839236,0.17645595603529493,-0.4936972025990106,-1.219439097753775,-0.13319941340455976,-0.4192192605490553,0.2555390004221661,-0.39567354622115575,-1.4202905417901008,-9.366183920445081e-05,0.30333333333333334,0.45969796847737127,0.0,False,True,0.20474074074074075,0.403512044208935,0.0,False,True,0.0,0.0,0.0,False,False,0.0026666666666666666,0.051570878948836565,0.0,False,True,0,12000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-117.465034,0.0,-117.465034,-117.465034,-117.465034,-407.19446,84.37784,-431.54517,-522.5486,-268.65634,14001,210.6745262145996,0.00015472433,7.881386e-05,-6.1815467,-6.173625,-6.174097,-0.23493007,0.18866573,-0.16827074,-1.157275,-0.15612736,-0.8143888,0.19909422,-0.88088673,-1.3950124,-0.2928765,-0.1319600202887692,0.9027101613521669,-1.4856415736488539e-06,-2.3362020892780797,1.7502354573260073,-0.0779629126310786,0.942356021431627,-6.720473383965054e-10,-2.394645908295683,1.7616722007588583,-0.11914877761821584,0.12675119979638266,-0.11337524598006089,-1.119320978766313,-0.0007926019640972504,-0.40640684434656016,0.26291199804883764,-0.31688092147595637,-1.3861580072182498,-0.0004627523903452113,0.9326666666666666,0.2505983949580594,1.0,False,True,0.2597777777777778,0.4385125812911384,0.0,False,True,0.868,0.33849076796864047,1.0,False,True,0.00044444444444444447,0.021077165691341115,0.0,False,True,0,14000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-460.84088,0.0,-460.84088,-460.84088,-460.84088,-325.09802,103.04977,-339.99084,-452.69666,-145.69936,16001,242.11638760566711,0.00026663716,0.00044810076,-6.725796,-6.7089577,-6.722692,-0.92168176,0.045454077,-0.9153142,-1.2606283,-0.81962883,-0.65019596,0.22422323,-0.7295493,-1.3126026,-0.15865256,-0.4074010023586418,0.8609997071475278,-0.10185017339421165,-2.3408178461923232,1.4061730181077479,-0.20963716009025082,0.8632007960753394,-5.220068823519413e-08,-2.3726385020649494,1.7455731255310316,-0.45855670683338695,0.27125672858743427,-0.3367844479062934,-1.1420557703860033,-0.0003659474174914634,-0.3286557649352405,0.22285051829750727,-0.29038196609619726,-1.1864026585836798,-0.00011494090441549476,0.046,0.20948508300115307,0.0,False,True,0.34674074074074074,0.4759323475571955,0.0,False,True,0.0,0.0,0.0,False,False,0.10888888888888888,0.31149975724779,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-316.34946,0.0,-316.34946,-316.34946,-316.34946,-311.937,125.23394,-311.4666,-576.90015,-138.027,18001,273.0699768066406,0.00016833897,0.00026559812,-7.677047,-7.6783605,-7.6830883,-0.6326989,0.12874553,-0.6076984,-1.3836234,-0.4196351,-0.62387395,0.26784652,-0.61957806,-1.3834969,-0.18591365,-0.45071275430015595,0.8547398790159612,-0.09089357847585058,-2.379255775229844,1.4130038345437728,-0.27012438816973455,0.9200237962423669,-1.0215951753399744e-05,-2.3949131675796265,1.7519928637931992,-0.342998314682609,0.14599063301472312,-0.32961315488964765,-1.3800959265010215,-7.92071259373417e-05,-0.3087356621515458,0.2415280249422527,-0.2519639181101616,-1.1942422931830259,-0.0005911696793702848,0.04933333333333333,0.21656305214776495,0.0,False,True,0.3968888888888889,0.4892525919864218,0.0,False,True,0.0,0.0,0.0,False,False,0.1131111111111111,0.31672857094730333,0.0,False,True,0,18000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-299.16367,0.0,-299.16367,-299.16367,-299.16367,-332.46326,131.11713,-353.59387,-541.10315,-141.38838,20001,303.6444215774536,0.00019786641,0.00020573527,-8.221968,-8.214018,-8.221932,-0.59832734,0.04692517,-0.59231484,-0.74082893,-0.38981512,-0.6649266,0.28487536,-0.7238348,-1.5755781,-0.16380653,-0.33117612589488016,0.9130978461345783,-0.03962365017667362,-2.3330664364897284,1.6247889251696719,-0.2571482918346525,0.912754794983903,-0.00013191985573273932,-2.4048809052234006,1.7599642831921172,-0.31392818146836565,0.14667972674159513,-0.3764360446391988,-0.684542346925033,-0.01136138310704743,-0.33896942779884986,0.2439812377858652,-0.2829263382093981,-1.3831095487180587,-2.5271044331767745e-05,0.25266666666666665,0.4345413929906128,0.0,False,True,0.37474074074074076,0.484055903765073,0.0,False,True,0.0,0.0,0.0,False,False,0.2351111111111111,0.4240682451483604,0.0,False,True,0,20000
