train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ee_pose_success_Average,ee_pose_success_Std,ee_pose_success_Median,ee_pose_success_Min,ee_pose_success_Max,eval_ee_pose_success_Average,eval_ee_pose_success_Std,eval_ee_pose_success_Median,eval_ee_pose_success_Min,eval_ee_pose_success_Max,euclidean_distance_Average,euclidean_distance_Std,euclidean_distance_Median,euclidean_distance_Min,euclidean_distance_Max,eval_euclidean_distance_Average,eval_euclidean_distance_Std,eval_euclidean_distance_Median,eval_euclidean_distance_Min,eval_euclidean_distance_Max,target_coord_Average,target_coord_Std,target_coord_Median,target_coord_Min,target_coord_Max,eval_target_coord_Average,eval_target_coord_Std,eval_target_coord_Median,eval_target_coord_Min,eval_target_coord_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,5.662561,0.0,5.662561,5.662561,5.662561,5.1954446,4.3931494,3.4165769,0.17357513,13.431653,4001,40.57482361793518,-0.04998041316866875,0.011325122,0.0064737597,0.010907174,0.0057841544,0.14013055,0.01039089,0.016461363,0.0064596855,0.00014359617,0.34603027,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.45125057513717093,0.01856105836484256,0.4518334507226096,0.19651807714996322,0.5152633093087202,0.5327068073348252,0.14133243560076092,0.5042174655850167,0.10612290296551395,0.8848505503529933,0.10806905266534857,0.3744861482781322,0.03853542543500713,-0.3118438219522307,0.5975155545132693,0.17068322371777275,0.4081866416713008,0.15011717100709862,-0.547961746433801,0.9470511410581144,0.004,0.06311893535223802,0.0,False,True,0.019555555555555555,0.13846709285050052,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,450.1,149.70000000000002,500.0,1,500,3.7092586,0.0,3.7092586,3.7092586,3.7092586,116.776306,296.2078,5.4622936,1.8227173,1000.0,8001,124.03108358383179,-46.589141845703125,0.007418517,0.005428692,0.0040816413,0.00033349608,0.022397954,0.25944525,14.903437,0.008925119,0.00023462664,1000.0,0.0,0.0,0.0,False,False,0.00022217285047767163,0.01490380789268911,0.0,False,True,0.5116890966858857,0.0634126296102031,0.5501256142298647,0.3798785693917195,0.8005879463461012,0.4899348362638173,0.19674561725719597,0.47188856096465576,0.09098501880746196,0.83575150707674,0.10627584646117824,0.17347557861660684,0.13981208577069648,-0.12096116651105154,0.2999766201238898,0.1807647555265182,0.35682105334631,0.18696283879151976,-0.41187883312714724,0.8081924917857615,0.0,0.0,0.0,False,False,0.13263719173516997,0.33918220340073524,0.0,False,True,0,8000
479.0,0.0,479.0,479,479,382.0,204.88533378453423,500.0,2,500,1122.7242,0.0,1122.7242,1122.7242,1122.7242,258.64832,430.6498,5.759171,1.1279947,1010.7306,12001,207.08614683151245,-56.27485656738281,2.3438919,45.63174,0.27149838,0.14054233,1000.0,0.6770898,25.573305,0.010535231,3.444168e-05,1000.0,0.0020876826722338203,0.04564344699180678,0.0,False,True,0.0006544502617801048,0.02557385298767005,0.0,False,True,0.13661049510261764,0.01224302250663649,0.13037990648045816,0.0990123526244017,0.19622465541583967,0.4579277216265875,0.12668358091490456,0.4553030289030746,0.09106090214981728,1.0276243111331367,0.11505990994498673,0.31716624019499695,0.061438593668773564,-0.24379146233959487,0.5275325985057815,0.14499986495938913,0.4146000219372018,0.0032221317740259714,-0.5528474933492415,1.0708155264139338,1.0,0.0,1.0,True,True,0.12369109947643979,0.32922881311748714,0.0,False,True,0,12000
255.0,245.0,255.0,10,500,423.4,161.74498446628877,500.0,1,500,504.34247,496.96057,504.34247,7.3819036,1001.30304,208.82382,397.02667,11.772347,2.714911,1005.44507,16001,278.9790840148926,-186.42189025878906,1.9778136,44.23656,0.014618746,0.004068802,1000.0,0.49320698,21.728424,0.014715977,0.00051080313,1000.0,0.00196078431372549,0.04423731048109206,0.0,False,True,0.0004723665564478035,0.021728861596598963,0.0,False,True,0.42007656682276073,0.0401810330009079,0.4225450605710507,0.096225396714985,0.5504406655748658,0.44075268392047756,0.10678807279779481,0.4218821512953871,0.07830890304045582,0.7579526247723257,0.15797043295718763,0.4779819865732466,0.27508336783959564,-0.47977380051170393,0.7455993613606026,0.1289987825707651,0.36610430059806326,0.084552586987821,-0.5420307049609772,0.8158710129889749,0.01764705882352941,0.13166487815058464,0.0,False,True,0.1232876712328767,0.32876712328767116,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,457.3333333333333,120.67955732250411,500.0,116,500,0.29677522,0.0,0.29677522,0.29677522,0.29677522,122.923546,312.3066,6.275689,3.30729,1004.89624,20001,353.7876994609833,-363.7918701171875,0.00059355045,0.0006363561,0.00034432908,0.0001263317,0.0038686867,0.2687833,15.584754,0.009009056,0.00027652885,1000.0,0.0,0.0,0.0,False,False,0.00024295432458697764,0.01558509858111723,0.0,False,True,0.7694129143358772,0.06028732213887918,0.7973912744493576,0.5554840156576052,0.8976599657872016,0.4904922152843575,0.1684557178894218,0.47095250406662553,0.09307130449123897,0.8193195361343217,-0.022838669926731687,0.2592774864414132,0.048909049244231895,-0.37012290355005634,0.2526978445256294,0.1643308522712585,0.4679678629272423,-0.0018930419638904517,-0.648273834665001,1.0619160917932746,0.0,0.0,0.0,False,False,0.12657920310981535,0.33250099014875045,0.0,False,True,0,20000
500.0,0.0,500.0,500,500,450.1,149.70000000000002,500.0,1,500,50.372726,0.0,50.372726,50.372726,50.372726,111.113625,296.6404,4.5557117,0.07151365,1000.0,24001,427.7176785469055,-266.138427734375,0.100745454,0.0066345213,0.10041495,0.059145372,0.16036935,0.2468643,14.903473,0.007766458,4.7687074e-05,1000.0,0.0,0.0,0.0,False,False,0.00022217285047767163,0.01490380789268911,0.0,False,True,0.22969771923383905,0.005822416531703203,0.2298444227268663,0.18302756869120232,0.28277569275238423,0.5397749830795858,0.23337961193746098,0.4857941071072809,0.07579162084909141,0.9950850187258502,0.21954178186457185,0.36057978466976975,0.4201195345545231,-0.2867681475221554,0.5252739585613478,0.118900633823646,0.33874674733901,0.08477913012733969,-0.5083321758522907,0.9710697705452224,1.0,0.0,1.0,True,True,0.2986003110419907,0.45764414700465367,0.0,False,True,0,24000
500.0,0.0,500.0,500,500,454.9,135.3,500.0,49,500,106.7282,0.0,106.7282,106.7282,106.7282,107.74955,298.4998,0.99244237,0.18610829,1002.364,28001,498.45627212524414,-323.98089599609375,0.2134564,0.023371011,0.2156898,0.018206676,0.22819147,0.23686422,14.824769,0.0018635056,0.00031210887,1000.0,0.0,0.0,0.0,False,False,0.00021982853374367993,0.014824985975016369,0.0,False,True,0.15585150971896466,0.021306842192985544,0.15339140206171348,0.1477570255080108,0.4005966961827904,0.5798130418611691,0.19161530325572926,0.6285295864281171,0.014571647613503916,0.8072158515514016,0.32373526956923754,0.4407314564687287,0.5378587717183348,-0.29025810357294707,0.7236051405623249,0.12823213679850684,0.3805488690606962,0.03674703453363187,-0.4227244946011082,0.8958435645754905,0.994,0.07722693830523132,1.0,False,True,0.1138711804792262,0.31765474140250716,0.0,False,True,0,28000
500.0,0.0,500.0,500,500,452.3,143.10000000000002,500.0,23,500,7.5763483,0.0,7.5763483,7.5763483,7.5763483,112.8145,296.67395,10.320103,0.24503371,1001.25244,32001,574.2051129341125,-300.4873352050781,0.0151526965,0.011804688,0.012357456,0.010387642,0.14327516,0.24942403,14.86717,0.016972942,0.00040985376,1000.0,0.0,0.0,0.0,False,False,0.00022109219544550078,0.014867525472875903,0.0,False,True,0.4287117837494651,0.03405927577909813,0.4393495694043612,0.19429882780264277,0.456713845496814,0.4837134029795274,0.19077009226219693,0.40761348854205315,0.0734241725834524,0.7799710145308912,0.15179654403556295,0.37147684786543483,0.0005386861164017043,-0.20827323949244145,0.6631241854827286,0.09871964662981954,0.45126197987369276,-0.01699910322104864,-0.5740818942587105,1.0329679695191627,0.022,0.14668333238647124,0.0,False,True,0.13309750165819145,0.33968007994367166,0.0,False,True,0,32000
500.0,0.0,500.0,500,500,451.2,146.4,500.0,12,500,36.588646,0.0,36.588646,36.588646,36.588646,117.086365,296.93323,6.924304,0.35143998,1002.1826,36001,648.3124876022339,-365.05224609375,0.07317729,0.03337531,0.08861229,0.003962026,0.106735535,0.2594999,14.885258,0.0126818465,8.66867e-05,1000.0,0.0,0.0,0.0,False,False,0.00022163120567375886,0.014885633519687042,0.0,False,True,0.28699519220194997,0.09154658783086789,0.2423491668739408,0.2237401135595875,0.5530999752692798,0.5017238751355485,0.2129746138416785,0.4367583735405227,0.09375599730795006,0.9353210099525413,0.09984143097605634,0.2674437054914672,0.25047634366478155,-0.27592742862672853,0.324975377890116,0.23196333350516016,0.4044698918353277,0.21284442109319765,-0.37291823543986,0.9615708167626007,0.764,0.4246221850068599,1.0,False,True,0.12699468085106383,0.3329670132109189,0.0,False,True,0,36000
500.0,0.0,500.0,500,500,451.8,144.6,500.0,18,500,1.0064008,0.0,1.0064008,1.0064008,1.0064008,119.634384,297.56613,2.826819,0.041371252,1001.3799,40001,725.2716209888458,-338.29193115234375,0.0020128016,0.0054632323,0.0010549183,0.00021177216,0.03708015,0.26479498,14.875436,0.004277755,6.979548e-05,1000.0,0.0,0.0,0.0,False,False,0.0002213368747233289,0.014875748206769858,0.0,False,True,0.6910015855642494,0.08177375537123191,0.6854291957578637,0.32946734921835885,0.8459999603438054,0.5622270297478544,0.24910988645048818,0.5454326923331756,0.09904367730180447,0.9569941290260593,0.4077388128537912,0.35005740338663704,0.648609954931788,-0.08725796571239251,0.6618644493419781,0.2112709004249289,0.4232732192122699,0.10385406213892406,-0.43858771111095934,0.9186631794585737,0.0,0.0,0.0,False,False,0.1133244798583444,0.31698902524090655,0.0,False,True,0,40000
