train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Training Loss2,Q Predictions,Q Predictions2,Q Targets,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,reached_goal_Average,reached_goal_Std,reached_goal_Median,reached_goal_Min,reached_goal_Max,eval_reached_goal_Average,eval_reached_goal_Std,eval_reached_goal_Median,eval_reached_goal_Min,eval_reached_goal_Max,Initial_DataCollection_AverageReturn,step
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-462.59027,0.0,-462.59027,-462.59027,-462.59027,-477.97546,13.581478,-479.3051,-501.0718,-458.60425,2001,14.01489806175232,0.0020315084,0.0013050281,-1.1056327,-1.1186836,-1.141917,-0.92518055,0.28123435,-0.93580437,-1.6884352,-0.38176692,-0.955951,0.30692875,-0.93093085,-1.8955255,-0.1421859,-0.12012504314157375,0.8494925811769838,-1.839176403308114e-05,-2.3019384792746562,1.74732529314547,-0.11647513831355161,0.8476032816863569,-1.243155185089222e-05,-2.3079865532422286,1.8260391708501005,-0.46854938944458374,0.3035545520723115,-0.36683759169291624,-1.466560624601557,-0.0007934532734351629,-0.4911429547513692,0.3078869849395821,-0.3842238636533992,-1.713969557851818,-2.2887405239924163e-05,0.18,0.38418745424597095,0.0,False,True,0.12029629629629629,0.3253076964870182,0.0,False,True,0.0,0.0,0.0,False,False,0.0057777777777777775,0.07579178756124173,0.0,False,True,0,2000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-460.3579,0.0,-460.3579,-460.3579,-460.3579,-488.8141,15.694168,-482.48178,-513.63855,-467.98358,4001,45.46945142745972,0.0034797103,0.003994594,-2.6323066,-2.6361625,-2.6280851,-0.9207158,0.28217587,-0.87811494,-1.7426797,-0.3821187,-0.9776282,0.3048334,-0.97411525,-1.9771711,-0.22174175,-0.17225641240299877,0.8736374745541126,-0.00014804212985426233,-2.293530063410198,1.8033907111053553,-0.1695643758401795,0.8779273809352977,-0.00016388821948991236,-2.321972055821109,1.823527453649144,-0.45859343755177695,0.3143336961945756,-0.3751383965460876,-1.5513208992340721,-0.0016841515836668944,-0.48691037118185254,0.33537791002100986,-0.37701602005183876,-1.6595523389213227,-3.189232047684509e-05,0.21266666666666667,0.4091937872885603,0.0,False,True,0.2022962962962963,0.40171196746063886,0.0,False,True,0.0,0.0,0.0,False,False,0.008888888888888889,0.09386094258641278,0.0,False,True,0,4000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-335.02655,0.0,-335.02655,-335.02655,-335.02655,-333.92383,20.132812,-338.6909,-363.0913,-300.4115,6001,76.13584232330322,0.006267729,0.005187612,-3.4786177,-3.461026,-3.4613175,-0.6700531,0.2657517,-0.66667694,-1.2675364,-0.202286,-0.6678476,0.26044068,-0.65103984,-1.7202263,-0.06855451,-0.026987117796927355,0.9889400459075304,-1.1099971838768854e-06,-2.367431941260673,1.770248943415517,-0.012063237537954756,0.996743997018544,-7.382718861146533e-07,-2.3783478092265025,1.788086058415112,-0.32542032144539335,0.25942245315526197,-0.23768398418594097,-1.177767289495725,-0.001551000201265404,-0.33205158334157064,0.247032397018452,-0.2423061424595086,-1.5120082922767524,-1.0166620831254499e-05,0.3933333333333333,0.4884897360459299,0.0,False,True,0.38681481481481483,0.4870206503369188,0.0,False,True,0.054,0.22601769842204833,0.0,False,True,0.05577777777777778,0.22949208544947824,0.0,False,True,0,6000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-413.70847,0.0,-413.70847,-413.70847,-413.70847,-422.52737,22.868065,-420.64166,-463.14062,-380.5545,8001,106.64405298233032,0.0073806746,0.007781964,-4.4044847,-4.4323893,-4.402767,-0.82741696,0.31717575,-0.78671014,-1.9055011,-0.20123048,-0.8450548,0.28870514,-0.83768094,-1.8283387,-0.03614234,-0.1771705047332895,0.8087715861673175,-0.0013799440262174966,-2.300280625292663,1.7271082587793998,-0.15710462661458713,0.8027292511023835,-0.0016766857042593694,-2.3694633509019396,1.801545138333328,-0.4123958581023883,0.3027695580987694,-0.35559983222708846,-1.7094440365194716,-0.001958135460212951,-0.4210880556951807,0.29750225795427226,-0.3522469150510378,-1.5720090954167363,-0.00013887194262485192,0.24333333333333335,0.4290946541524634,0.0,False,True,0.23792592592592593,0.4258135503929117,0.0,False,True,0.05,0.2179449471770336,0.0,False,True,0.014444444444444444,0.11931388213085602,0.0,False,True,0,8000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-396.3381,0.0,-396.3381,-396.3381,-396.3381,-440.05115,23.75182,-438.7955,-479.5301,-410.06866,10001,137.3197319507599,0.030119548,0.023959985,-5.1287003,-5.0990043,-5.122813,-0.7926762,0.3291778,-0.7548162,-1.519805,-0.22399777,-0.8801022,0.3361642,-0.8564161,-1.9366277,-0.12209743,-0.10923837762192891,0.804872344247729,-0.0016036723900198745,-2.3037798931146796,1.748481348766414,-0.12923473115019007,0.8105309537154246,-0.0018827061670277651,-2.3092721354288397,1.8121958162405545,-0.3844031451399077,0.31272791274652306,-0.30010158420834454,-1.3639512770609246,-0.000609985661502277,-0.42326616479447887,0.3416253389816464,-0.3306195216214532,-1.9279924037305352,-1.9751235390892685e-05,0.3373333333333333,0.4727996991914817,0.0,False,True,0.3225925925925926,0.4674683003124192,0.0,False,True,0.052,0.2220270253820467,0.0,False,True,0.024888888888888887,0.15578649523872545,0.0,False,True,0,10000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-274.99567,0.0,-274.99567,-274.99567,-274.99567,-339.89294,30.215248,-341.09225,-380.67413,-297.609,12001,168.08150243759155,0.019167226,0.022769932,-5.952512,-5.9710417,-6.0012426,-0.5499913,0.27621153,-0.51416445,-1.1619604,-0.0713935,-0.6797858,0.30681968,-0.6500397,-1.6593903,-0.036495216,0.07313579762250856,0.8359930799965845,0.000243536580626853,-2.3295996721372476,1.750414293565191,-0.018094722878390146,0.7916964657323113,4.740841257072664e-05,-2.3590655139993815,1.817767504487156,-0.25507489094070607,0.24738210358162868,-0.16774441909851873,-1.0766295116828286,-0.00033590331304766963,-0.323246920955209,0.2844769329096539,-0.2531155219614849,-1.556390866005811,-2.9208754846798968e-05,0.5613333333333334,0.4962239637726318,1.0,False,True,0.42792592592592593,0.49477805918044193,0.0,False,True,0.2,0.4,0.0,False,True,0.10022222222222223,0.3002960678981024,0.0,False,True,0,12000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-325.8401,0.0,-325.8401,-325.8401,-325.8401,-320.65918,10.808346,-320.33905,-336.45026,-299.45618,14001,199.03414273262024,0.048220497,0.04823959,-6.9210644,-6.903456,-6.902565,-0.6516802,0.26288572,-0.6124382,-1.3579304,-0.16638875,-0.6413184,0.27423027,-0.6147347,-1.7064809,-0.049101636,-0.2032131363237979,0.7387216901633412,-0.0003065536488385341,-2.346740011813781,1.7673263959352925,-0.2218223390174868,0.7546317192994485,-0.0008575764907821674,-2.3586152354565244,1.7998837308363174,-0.31638292494919334,0.2539694878472978,-0.25121798929749034,-1.2686065519033738,-1.1939798390606104e-05,-0.3093737975347,0.2577822448075491,-0.24376208812406527,-1.5691053958269545,-4.894546830794266e-06,0.4086666666666667,0.4915874512456783,0.0,False,True,0.42762962962962964,0.4947348072376305,0.0,False,True,0.074,0.26177089219391836,0.0,False,True,0.09666666666666666,0.29550333707459586,0.0,False,True,0,14000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-394.82422,0.0,-394.82422,-394.82422,-394.82422,-408.54495,17.044178,-411.65454,-438.7491,-379.806,16001,229.83002161979675,0.06691321,0.06852581,-7.569496,-7.5561934,-7.634343,-0.7896484,0.2768432,-0.7901662,-1.493954,-0.1591562,-0.8170899,0.29797307,-0.80190706,-1.7387463,-0.09737594,-0.16351210936289748,0.6856493237491642,-0.00799761092126555,-2.305885988240087,1.8033559849350613,-0.20459785448095844,0.6647466986001791,-0.008624572171899192,-2.3095897864286203,1.8138132871015242,-0.39000664763416126,0.285114761227619,-0.3130211162036522,-1.249579463583888,-0.0007206908964279002,-0.41089231383028224,0.2886326107552594,-0.3579587468490839,-1.6253195728230967,-2.2789499156461446e-05,0.2733333333333333,0.4456705310228872,0.0,False,True,0.25274074074074077,0.4345835462952578,0.0,False,True,0.028,0.16497272501841023,0.0,False,True,0.026444444444444444,0.16045290836400922,0.0,False,True,0,16000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-361.8817,0.0,-361.8817,-361.8817,-361.8817,-384.524,20.627625,-383.3724,-419.39117,-355.37964,18001,260.66000270843506,0.0652975,0.072194315,-8.725473,-8.647591,-8.712785,-0.7237634,0.24014877,-0.74490976,-1.4445378,-0.25033525,-0.769048,0.3126222,-0.73876125,-1.706085,-0.053190265,-0.3475486172973355,0.648388679603242,-0.013073583164823654,-2.2984960215403207,1.6212664020635839,-0.3358017588915085,0.6629106441078719,-0.014441209419654072,-2.3348259188409073,1.730285128169111,-0.3701728003344722,0.2383423254568157,-0.33011612119068234,-1.2616713463232725,-0.0002564470637584637,-0.38350780303334464,0.28747912436248174,-0.3136672058305111,-1.6734158099170096,-6.205405848150325e-05,0.244,0.42949272403615874,0.0,False,True,0.28244444444444444,0.4501883830652603,0.0,False,True,0.008,0.08908422980528033,0.0,False,True,0.04044444444444444,0.19699921664317524,0.0,False,True,0,18000
500.0,0.0,500.0,500,500,500.0,0.0,500.0,500,500,-480.92307,0.0,-480.92307,-480.92307,-480.92307,-471.30676,18.153883,-473.93884,-502.26965,-434.6421,20001,291.50934314727783,0.079652354,0.07048678,-9.056883,-9.085619,-9.046854,-0.9618461,0.3419707,-0.96915483,-1.657366,-0.07879817,-0.9426135,0.33432797,-0.94021606,-1.871978,-0.17427723,-0.20058032227000389,0.7011179502623719,-2.903027164904623e-05,-1.5785201766489154,1.7256118664097178,-0.19781491542964338,0.7241196732624801,-4.242907949758658e-05,-2.337942188488333,1.7541736769701868,-0.486013852351095,0.33339837437412795,-0.398872069930097,-1.5656682552611065,-0.00029858525262294044,-0.46840445463505,0.33768193384521256,-0.37467910506613455,-1.8286180860998136,-6.647538805931719e-05,0.18133333333333335,0.38529411565134963,0.0,False,True,0.19644444444444445,0.3973084754839218,0.0,False,True,0.01,0.09949874371066199,0.0,False,True,0.009555555555555555,0.09728436109457803,0.0,False,True,0,20000
